filename,model,similarity_llm_truth,similarity_ocr_truth,similarity_ocr_llm
Z05353396.txt,byT5-v3-gpt,0.4741,0.5233,0.7881
Z05353401.txt,byT5-v3-gpt,0.5541,0.5676,0.7834
Z05353422.txt,byT5-v3-gpt,0.5940,0.6506,0.8197
Z05353424.txt,byT5-v3-gpt,0.6991,0.7390,0.8407
Z05353668.txt,byT5-v3-gpt,0.6013,0.6516,0.7674
Z05353673.txt,byT5-v3-gpt,0.5787,0.5747,0.8054
Z05353721.txt,byT5-v3-gpt,0.2806,0.3030,0.8283
Z05353758.txt,byT5-v3-gpt,0.6134,0.6416,0.8230
Z05353778.txt,byT5-v3-gpt,0.6652,0.6934,0.7712
Z05353836.txt,byT5-v3-gpt,0.6688,0.6924,0.8111
Z05353396.txt,byT5-v2-gpt,0.4874,0.5233,0.7981
Z05353401.txt,byT5-v2-gpt,0.5511,0.5676,0.7991
Z05353422.txt,byT5-v2-gpt,0.5893,0.6506,0.8289
Z05353424.txt,byT5-v2-gpt,0.7097,0.7390,0.8632
Z05353668.txt,byT5-v2-gpt,0.6035,0.6516,0.7836
Z05353673.txt,byT5-v2-gpt,0.5794,0.5747,0.8164
Z05353721.txt,byT5-v2-gpt,0.2857,0.3030,0.8283
Z05353758.txt,byT5-v2-gpt,0.6165,0.6416,0.8342
Z05353778.txt,byT5-v2-gpt,0.6605,0.6934,0.7857
Z05353836.txt,byT5-v2-gpt,0.6840,0.6924,0.8295
Z05353396.txt,byT5-small-gpt,0.5039,0.5233,0.8819
Z05353401.txt,byT5-small-gpt,0.5671,0.5676,0.8954
Z05353422.txt,byT5-small-gpt,0.6267,0.6506,0.8910
Z05353424.txt,byT5-small-gpt,0.7319,0.7390,0.9279
Z05353668.txt,byT5-small-gpt,0.6295,0.6516,0.8738
Z05353673.txt,byT5-small-gpt,0.5782,0.5747,0.8881
Z05353721.txt,byT5-small-gpt,0.2828,0.3030,0.8081
Z05353758.txt,byT5-small-gpt,0.6141,0.6416,0.8778
Z05353778.txt,byT5-small-gpt,0.6868,0.6934,0.8974
Z05353836.txt,byT5-small-gpt,0.6846,0.6924,0.9196
Z05353396.txt,byT5-5k-gpt,0.5025,0.5233,0.8640
Z05353401.txt,byT5-5k-gpt,0.5757,0.5676,0.8805
Z05353422.txt,byT5-5k-gpt,0.6198,0.6506,0.8573
Z05353424.txt,byT5-5k-gpt,0.7134,0.7390,0.8990
Z05353668.txt,byT5-5k-gpt,0.6176,0.6516,0.8576
Z05353673.txt,byT5-5k-gpt,0.5574,0.5747,0.8444
Z05353721.txt,byT5-5k-gpt,0.2893,0.3030,0.7172
Z05353758.txt,byT5-5k-gpt,0.6174,0.6416,0.8903
Z05353778.txt,byT5-5k-gpt,0.6673,0.6934,0.8765
Z05353836.txt,byT5-5k-gpt,0.6537,0.6924,0.8946
